PROJECT                                                                   NOISE      SRT     SRT_dev  SLOPE  SLOPE_dev  SRT_train
run-listener01-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAD      icra1      -7.45   0.18     11.08  1.93       -3
run-listener01-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IA       icra1      -11.31  0.22     9.58   2.01       -9
run-listener01-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAG      icra1      -10.32  0.17     11.50  1.90       -8
run-listener01-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAD  icra5.250  -9.57   0.40     5.00   2.00       -6
run-listener01-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IA   icra5.250  -10.35  0.23     8.50   1.99       -3
run-listener01-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAG  icra5.250  -8.89   0.28     7.50   2.10       -4
run-listener01-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAD      quiet      -38.20  0.20     10.25  1.99       -36
run-listener01-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IA       quiet      -40.11  0.14     14.42  1.99       -37
run-listener01-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAG      quiet      -33.59  0.20     10.08  1.98       -32
run-listener01-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IAD             icra1      -15.23  0.17     11.50  1.98       -10
run-listener01-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IA              icra1      -18.13  0.18     11.25  2.01       -15
run-listener01-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IAG             icra1      -16.13  0.14     13.75  1.97       -11
run-listener01-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAD         icra5.250  -14.68  0.26     7.83   1.99       -12
run-listener01-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IA          icra5.250  -15.25  0.24     8.50   1.96       -11
run-listener01-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAG         icra5.250  -14.92  0.26     7.75   2.05       -10
run-listener01-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IAD             quiet      -30.05  0.20     10.17  2.03       -27
run-listener01-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IA              quiet      -34.18  0.20     10.00  2.02       -31
run-listener01-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IAG             quiet      -33.38  0.23     8.83   2.04       -31
run-listener01-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAD           icra1      -8.25   0.22     9.50   2.05       -5
run-listener01-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IA            icra1      -11.82  0.17     12.25  2.02       -9
